word,ML,HW
abandon,23,2
abandoned,32,2
abandoning,3,0
abated,7,0
abbess,2,0
abbey,65,0
abbot,86,0
abdication,0,1
abhor,3,2
abhorred,1,0
abhorrence,5,0
abhorring,1,0
abhors,0,2
abide,2,2
abilities,2,1
ability,1,0
abject,0,1
able,22,3
abode,13,1
abodes,2,0
abominably,1,0
abomination,1,0
abroad,2,0
abrupt,3,0
abruptly,2,4
abruptness,2,0
absconding,0,1
absence,22,7
absent,6,4
absolute,10,0
absolutely,12,1
absolution,1,0
absolved,1,0
absorbed,1,2
abstinence,3,0
abstract,1,0
abstracted,1,0
abstruse,1,0
absurd,5,1
absurdity,4,1
abundance,1,0
abuse,2,0
abused,2,0
abuses,1,0
abyss,7,0
acceded,1,0
accent,5,0
accents,14,2
accept,17,3
acceptable,5,0
accepted,10,6
accepting,4,2
accepts,0,2
access,18,12
accessed,1,1
accessible,1,1
accession,0,1
accessory,0,1
accident,16,0
accidental,0,1
accidentally,3,0
accommodate,1,0
accommodation,0,1
accommodations,1,0
accompanied,24,8
accompanies,1,0
accompany,12,7
accompanying,0,2
accomplice,3,4
accomplices,3,1
accomplish,0,3
accomplished,4,1
accomplishment,1,0
accomplishments,2,0
accord,1,0
accordance,2,2
accorded,4,0
according,11,4
accordingly,8,0
accosted,1,1
account,40,1
accounts,3,1
accusation,5,0
accusations,1,0
accuse,4,3
accused,3,3
accuser,2,0
accuses,0,1
accustom,1,0
accustomed,12,2
acknowledge,13,2
acknowledged,4,1
acknowledging,0,2
acknowledgment,1,0
acknowledgments,1,0
acquaint,2,4
acquaintance,15,0
acquainted,8,14
acquiesce,0,2
acquiescence,0,2
acquire,4,0
acquired,5,0
acquisition,2,0
acrimony,2,0
act,9,4
acted,2,2
acting,1,0
action,24,0
actions,4,3
active,2,3
activity,1,0
actor,1,0
actors,0,3
actress,1,0
acts,0,1
actual,1,1
actually,1,0
actuated,1,0
acute,1,0
acuteness,2,0
add,6,3
added,21,4
addicted,1,0
adding,2,0
addition,2,1
additional,8,5
additions,1,2
address,19,4
addressed,21,2
addresses,6,2
addressing,4,2
adds,1,0
adept,1,0
adequate,1,0
adhere,0,1
adhered,2,0
adhering,1,0
adieu,3,2
adjacent,3,1
adjoining,6,2
adjourn,1,0
adjudged,1,0
adjure,0,3
adjured,0,2
adjust,0,1
adjusted,0,1
adjusting,1,0
administer,0,1
administered,5,0
admirable,4,0
admiration,23,1
admire,3,0
admired,6,0
admirer,3,0
admirers,2,0
admires,0,1
admiring,1,0
admission,5,0
admit,8,1
admittance,5,2
admitted,11,2
admitting,2,0
admonitions,0,1
adopt,2,0
adopted,7,1
adorable,2,0
adoration,7,1
adore,3,2
adored,2,3
adorer,1,0
adores,2,0
adoring,2,0
adorned,4,1
adown,0,1
adulterous,0,1
advance,8,3
advanced,28,5
advances,1,0
advancing,5,5
advantage,1,0
advantageous,2,0
advantageously,1,0
advantages,3,0
adventure,31,2
adventurer,4,0
adventures,11,0
adventurous,0,1
adversaries,1,0
adversary,0,1
adverse,1,0
advertise,0,1
advertised,0,1
advertisement,1,0
advice,9,1
advise,3,2
advised,14,2
adviser,2,0
advising,1,0
advocate,2,0
aera,1,0
aetna,1,0
affair,9,2
affairs,4,4
affect,1,0
affected,25,8
affecting,3,2
affection,55,13
affectionate,9,1
affectionately,4,0
affectioned,0,1
affections,16,3
affects,1,2
affianced,1,0
affinity,1,0
affirmative,2,0
afflict,2,1
afflicted,3,5
afflicting,1,0
affliction,14,4
afflicts,1,1
affluence,2,0
afford,3,2
afforded,5,0
affright,3,0
affrighted,1,0
affrights,1,0
affront,0,1
afraid,3,3
agatha,3,0
age,21,2
aged,1,2
agency,2,0
agent,4,2
agents,2,1
ages,1,1
aggrandizement,1,0
aggravate,0,2
agitate,2,0
agitated,11,5
agitation,18,0
agnes,194,0
agnus,2,0
ago,5,2
agonies,17,1
agonising,0,1
agony,7,9
agree,10,9
agreeable,14,1
agreeably,1,0
agreed,9,1
agreement,19,18
ah,38,7
aid,26,2
aided,10,0
aiding,2,0
aim,5,0
aimed,3,0
aims,0,1
air,69,8
airs,2,0
airy,2,0
aisle,2,0
aisles,4,1
ajar,0,2
alarm,16,7
alarmed,22,8
alarming,2,3
alarms,3,1
alarum,1,0
alas,14,25
alcove,4,0
alfonso,0,37
algiers,0,1
alight,0,2
alighting,0,1
alike,2,0
aliments,2,0
alive,17,2
alix,4,0
allege,1,0
alleged,0,1
alleviate,2,0
alleviating,1,0
alley,1,0
alleys,1,0
alliance,2,2
allied,0,1
alligator,1,0
allotted,1,0
allow,6,8
allowance,1,0
allowed,3,1
allowing,2,0
allows,1,0
alluded,1,0
allurements,1,1
allusion,1,0
ally,3,0
almanack,0,1
almighty,13,0
aloft,1,0
alonzo,5,0
aloud,3,1
alphonso,24,0
altar,7,8
alter,3,0
alteration,2,1
altercation,0,1
altered,4,0
alternate,1,1
alternately,1,0
alternative,4,0
altogether,6,0
amadis,1,0
amar,1,0
amato,1,0
amaze,3,0
amazed,5,4
amazement,9,5
amazes,0,2
amazing,1,0
amber,1,0
ambiguous,0,2
ambition,4,5
ambitioned,1,0
ambitious,1,2
amble,0,1
ambrosio,248,0
amendment,1,0
americans,1,0
amiable,11,3
amicable,0,1
amidst,13,1
amiss,1,1
amity,0,1
amorous,6,1
amounted,1,0
amour,0,2
amours,1,3
ample,4,0
amply,6,0
amuse,3,1
amused,5,0
amusement,3,0
amusing,3,0
anacreon,4,0
anarchy,1,0
anathema,0,2
ancestor,0,1
ancestors,0,4
ancient,0,4
andalusia,4,0
andalusian,1,0
andrea,0,1
anecdotes,1,0
angel,8,3
angelic,1,0
angelo,1,0
angels,8,4
anger,10,2
angrily,1,4
angry,6,0
anguish,15,4
anguished,1,0
animal,1,0
animated,7,1
animation,7,0
ankles,1,0
annals,1,0
annihilate,2,0
announce,5,2
announced,16,0
announcing,1,0
answer,28,12
answerable,0,2
answered,29,11
answerest,0,2
answering,2,0
answers,4,0
antagonist,1,0
antagonists,1,0
antecedent,0,1
anthony,2,0
anthropophagi,1,0
antic,1,0
antichamber,3,0
antient,2,0
antiquated,3,0
antique,1,0
antiroom,2,0
antonia,323,0
anxieties,1,0
anxiety,16,5
anxious,33,8
anxiously,5,1
anybody,0,4
apace,2,1
apartment,21,20
apartments,2,0
apathy,2,0
apes,1,0
apologies,2,1
apologising,0,1
apologize,2,0
apology,2,1
apostrophe,0,1
apothecaries,1,0
apothecary,1,0
appall,1,0
appalled,1,0
appalling,1,0
apparel,3,0
apparition,16,3
apparitions,1,1
appeal,3,1
appear,19,4
appearance,32,5
appearances,0,1
appeared,67,9
appearing,7,1
appears,3,1
appease,1,0
appeased,0,2
appeases,1,0
appellations,1,0
appetite,6,1
appetites,2,0
applauded,4,0
applause,2,0
applicable,3,3
application,4,0
applied,4,0
apply,5,2
applying,0,1
appointed,9,0
appointing,0,1
appointment,1,0
apprehend,4,1
apprehended,1,2
apprehending,2,2
apprehension,20,1
apprehensions,16,5
apprehensive,3,3
apprised,1,2
apprising,1,0
apprized,1,0
approach,27,3
approached,21,5
approaches,1,0
approaching,20,2
approbation,7,4
appropriate,2,0
approve,4,3
approved,5,0
approving,2,0
april,1,0
apt,1,0
aquiline,1,0
arabian,1,0
arch,4,0
archer,2,0
archers,16,0
archive,13,13
ardent,9,0
ardently,1,0
ardour,5,0
argue,2,1
argument,8,1
arguments,10,0
arise,1,1
arisen,0,1
arm,38,7
armed,9,2
armest,0,1
armour,2,12
armoury,0,1
arms,79,9
army,1,0
arose,4,1
arragon,0,1
arrange,3,0
arranged,8,0
arrangement,1,0
arranging,3,0
array,2,1
arrayed,3,0
arrest,1,0
arrested,4,0
arresting,1,0
arrival,29,7
arrive,9,0
arrived,40,8
arrives,2,0
arriving,2,1
arrow,2,1
arrows,3,0
art,19,49
artful,2,3
artfully,4,0
article,0,1
articles,1,0
articulate,2,0
articulated,0,1
artifice,5,0
artifices,2,0
artificial,3,0
artless,4,0
arts,8,0
ascend,3,0
ascendancy,2,0
ascended,12,2
ascendency,1,0
ascending,5,0
ascent,1,0
ascertain,3,0
ascertaining,2,0
ascii,2,2
ascribe,1,0
ascribed,2,0
ashamed,9,4
ashes,2,1
aside,12,3
ask,14,18
asked,14,11
asking,4,0
asks,0,1
asleep,4,0
aspect,2,0
asperity,0,1
aspiring,0,1
assailed,2,0
assailing,1,0
assassin,5,1
assassination,3,1
assassins,7,1
assay,1,0
assemble,1,0
assembled,5,3
assembles,1,0
assembling,2,0
assembly,2,0
assent,1,0
assented,2,0
assert,2,0
asserted,1,0
asserting,1,0
assertion,2,0
assertions,4,0
assiduity,1,0
assiduous,0,1
assiduously,1,0
assign,3,0
assignations,1,0
assigned,2,0
assist,7,7
assistance,36,7
assistant,1,0
assistants,0,2
assisted,7,3
assisting,0,2
associated,8,8
associates,5,0
assuaging,0,1
assume,5,0
assumed,7,1
assuming,2,1
assurance,6,0
assurances,4,0
assure,8,1
assured,41,8
assuring,3,0
astonish,2,0
astonished,6,4
astonishing,2,0
astonishment,12,5
astrologer,1,1
asunder,0,1
asylum,4,0
ate,1,0
atheism,1,0
atheist,1,0
athwart,1,0
atmospheres,1,0
atone,2,3
atonement,1,0
atrocious,1,0
attached,14,1
attachment,14,1
attack,5,0
attacked,2,1
attacking,2,0
attacks,2,0
attaining,0,1
attempt,26,0
attempted,16,1
attempting,2,0
attempts,12,0
attend,7,11
attendance,2,1
attendant,4,0
attendants,20,15
attended,16,6
attending,7,1
attends,1,0
attention,60,6
attentions,12,0
attentive,6,2
attentively,6,3
attest,0,1
attested,1,0
attitude,7,1
attitudes,5,0
attract,2,0
attracted,13,0
attractions,2,0
attracts,1,0
attribute,1,0
attributed,3,2
audacious,0,4
audible,10,0
audibly,4,0
audience,9,2
auditor,6,0
auditors,7,0
aught,2,11
augment,3,0
augmented,2,0
aunt,35,0
austerity,4,1
austrian,1,0
authentic,0,1
author,6,13
authorise,2,1
authorised,2,2
authorises,2,1
authorising,1,0
authority,2,4
authorize,5,0
authorized,1,0
authorizing,1,0
authorship,1,0
auto,4,0
avail,2,1
available,2,2
availed,1,0
avarice,1,0
avaunt,1,0
ave,2,0
avenue,0,1
aversion,5,3
averted,1,0
averting,0,1
avidity,8,0
avoid,13,7
avoided,6,1
avoiding,3,1
avow,7,1
avowal,8,1
avowed,4,0
await,0,3
awaited,2,1
awake,7,0
awakened,2,0
aware,19,1
away,94,15
awe,14,2
awful,4,2
awhile,1,0
awkward,1,1
awn,1,0
awoke,4,0
axe,1,0
ay,0,3
aye,5,0
b,1,1
babbling,0,1
babe,1,0
babes,1,0
baby,4,0
backed,0,1
backs,2,0
backwarder,1,0
backwards,5,3
bacon,1,0
bad,29,3
bade,1,3
baffle,2,0
baffled,4,0
baggage,4,0
balance,1,0
baleful,2,0
ballad,9,0
ballads,2,0
balls,0,1
band,12,0
bandage,4,0
bandied,1,0
banditti,15,0
bane,2,0
banish,3,1
banished,6,0
banister,0,1
bank,6,0
banker,2,0
banks,6,0
banner,0,1
banners,1,0
banquet,0,2
baptiste,33,0
bar,1,0
barbara,3,0
barbarian,3,0
barbarity,3,0
barbarous,5,0
barber,1,0
bare,1,0
barely,1,0
bark,2,0
barking,1,0
barn,10,0
baron,43,0
baroness,45,0
barony,1,0
barred,1,0
barrier,1,0
barriers,3,0
bars,2,0
barsisa,1,0
barter,1,0
bartered,1,0
basco,1,0
base,6,0
based,2,2
basely,0,1
baseness,3,0
basest,1,0
bashful,1,0
bashfulness,1,0
basis,1,0
basket,23,0
bason,1,0
basons,1,0
bastard,0,2
bat,2,0
bath,1,0
bathe,3,1
bathed,5,1
bathing,2,0
battered,1,0
battery,1,0
battle,4,0
battlements,1,2
